Neighborhood,Area:,Population:,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,med rent
"Ponderosa, Raleigh, NC",0.011,161,2.4 people,1.2,2.3,74,47.9 years,49.7 years,"$81,060",46.2%,43.3%,34.5%,40.0%,10.1%,40.6%,0.4%,14.9%,10.0%,0.0%,13.2%,69.9%,$969
"Poplar Creek, Raleigh, NC",0.061,18,2.7 people,1.8,2.3,8,42.0 years,44.5 years,"$53,409",31.9%,62.2%,11.5%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,15.6%,60.1%,$631
"Preservation Homes, Raleigh, NC",0.002,2,2.4 people,1.3,2.5,1,29.3 years,32.6 years,"$46,923",39.7%,52.0%,43.3%,55.3%,7.1%,54.6%,1.1%,16.4%,18.9%,0.0%,1.1%,62.2%,$672
"Proctor, Raleigh, NC",0.001,1,19.9%,2.6%,259.8,2.3 people,31.8%,48.7%,"$52,589",1.9,22.7%,16.8%,16.7%,81.7%,30.4%,1.6,30.7%,45.0%,1.6%,0.0%,11.3%,$834
"Pullen Park Terrace, Raleigh, NC",0.01,17,2.0 people,1.1,2.1,9,29.7 years,31.2 years,"$46,583",36.9%,52.7%,17.3%,23.1%,10.1%,14.0%,0.3%,23.7%,31.1%,0.0%,9.0%,37.6%,$614
"Quail Forest, Raleigh, NC",0.006,10,1.9 people,0.4,1.7,4,62.8 years,45.3 years,"$51,481",38.7%,47.6%,41.4%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,0.0%,7.4%,80.0%,"$2,295"
"Quail Hollow, Raleigh, NC",0.257,379,2.4 people,1.7,1.9,198,40.9 years,36.6 years,"$63,244",33.1%,45.7%,21.9%,49.2%,19.5%,39.4%,1.6%,14.9%,26.1%,2.8%,9.2%,78.2%,$932
"Quail Meadows, Raleigh, NC",0.075,304,2.2 people,1.4,1.9,122,37.9 years,42.5 years,"$60,913",42.6%,43.0%,30.3%,47.5%,11.6%,44.0%,2.7%,19.7%,15.9%,0.0%,13.0%,72.0%,$976
"Quail Pointe, Raleigh, NC",0.006999999999999999,27,2.6 people,2.0,1.8,14,46.2 years,39.1 years,"$70,461",46.3%,49.2%,36.1%,50.6%,2.7%,61.5%,1.8%,9.6%,14.3%,0.0%,3.6%,74.2%,"$1,186"
"Quail Ridge, Raleigh, NC",0.016,27,1.9 people,0.4,1.7,11,62.8 years,45.3 years,"$51,481",38.7%,47.6%,39.3%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,0.0%,7.1%,80.0%,"$2,295"
"Quarry Hill, Raleigh, NC",0.083,880,2.5 people,1.0,1.4,221,34.0 years,37.7 years,"$24,764",24.1%,67.3%,3.2%,35.0%,7.9%,20.7%,0.8%,37.9%,14.9%,2.1%,5.4%,24.8%,$564
"Quarry Pointe, Raleigh, NC",0.154,55,2.8 people,1.3,2.5,24,38.2 years,42.1 years,"$51,613",27.1%,64.5%,32.1%,57.8%,7.8%,49.2%,0.6%,14.7%,15.5%,0.0%,4.1%,88.4%,$704
"Ramblestone, Raleigh, NC",0.008,9,2.4 people,1.6,2.2,4,49.3 years,51.7 years,"$99,444",30.1%,65.8%,38.4%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.7%,56.7%,"$1,486"
"Ramblewood, Raleigh, NC",0.051,23,1.7 people,1.6,2.2,11,34.3 years,36.0 years,"$69,157",30.1%,65.8%,36.9%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.5%,56.7%,"$1,033"
"Ramsgate Heights, Raleigh, NC",0.008,7,33.0 people,2.1,2.3,3,23.8 years,25.3 years,"$55,139",36.9%,52.7%,25.1%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.7%,90.9%,"$1,046"
"Rangewood, Raleigh, NC",0.083,177,3.3 people,11.5,1.5,83,27.4 years,24.0 years,"$63,403",26.9%,57.8%,15.3%,63.8%,12.5%,53.7%,2.8%,25.0%,15.3%,8.3%,1.9%,62.1%,$765
"Raylaide Gardens, Raleigh, NC",0.004,11,36.0 people,1.3,2.0,4,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.6%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,0.0%,19.6%,84.5%,$767
"Rebel Acres, Raleigh, NC",0.037000000000000005,23,2.3 people,1.7,1.8,11,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.8%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,18.9%,86.6%,$895
"Renaissance at Valley Stream, Raleigh, NC",0.006,1,2.3 people,1.1,1.6,0,37.8 years,36.2 years,"$54,200",39.7%,36.8%,49.2%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,36.1%,81.9%,$795
"Richland Estates, Raleigh, NC",0.032,38,28.0 people,1.4,1.8,14,25.7 years,30.3 years,"$46,470",46.3%,42.9%,28.8%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,0.0%,20.3%,65.3%,$823
"Richland Townes, Raleigh, NC",0.013,15,28.0 people,1.4,1.8,5,25.7 years,30.3 years,"$46,470",46.3%,42.9%,29.4%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,0.0%,20.7%,65.3%,$823
"Ridge Park, Raleigh, NC",0.062,94,2.9 people,1.5,2.1,49,46.7 years,41.5 years,"$94,608",39.7%,52.0%,38.7%,50.9%,7.1%,58.9%,1.1%,13.2%,18.5%,0.0%,1.5%,59.9%,$849
"Ridge Road Court, Raleigh, NC",0.002,4,2.6 people,1.8,2.1,2,53.1 years,44.2 years,"$147,857",38.2%,56.0%,41.7%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.8%,56.8%,"$2,081"
"Ridgecrest, Raleigh, NC",0.015,46,2.4 people,1.8,2.0,24,43.5 years,37.1 years,"$90,344",37.8%,56.6%,35.7%,44.3%,4.7%,43.0%,1.0%,16.9%,20.9%,0.0%,6.8%,62.0%,$810
"Ridgecrest, Raleigh, NC",0.015,46,2.4 people,1.8,2.0,24,43.5 years,37.1 years,"$90,344",37.8%,56.6%,35.7%,44.3%,4.7%,43.0%,1.0%,16.9%,20.9%,0.0%,6.8%,62.0%,$810
"Ridgeway, Raleigh, NC",0.008,84,2.7 people,1.6,2.1,44,47.0 years,42.0 years,"$97,870",39.6%,52.5%,39.1%,51.8%,6.8%,59.7%,1.1%,12.9%,17.9%,0.0%,1.5%,62.8%,$872
"Ridgeway, Raleigh, NC",0.008,84,2.7 people,1.6,2.1,44,47.0 years,42.0 years,"$97,870",39.6%,52.5%,39.1%,51.8%,6.8%,59.7%,1.1%,12.9%,17.9%,0.0%,1.5%,62.8%,$872
"Ridgewood, Raleigh, NC",0.127,394,2.5 people,1.7,2.1,204,42.2 years,33.7 years,"$86,354",39.6%,52.2%,37.6%,48.2%,7.2%,57.1%,1.0%,12.9%,19.7%,0.8%,1.7%,59.6%,$754
"River Bend Plantation, Raleigh, NC",0.107,50,2.3 people,1.3,1.7,23,39.4 years,36.1 years,"$54,056",40.8%,41.3%,25.3%,46.7%,16.2%,41.5%,1.6%,23.0%,17.5%,0.0%,18.9%,85.0%,$849
"River Chase, Raleigh, NC",0.093,26,3.0 people,11.3,2.6,12,41.7 years,42.8 years,"$101,250",31.9%,62.2%,33.2%,65.2%,5.5%,77.3%,0.5%,13.7%,8.6%,0.0%,8.8%,84.1%,$623
"River Landings, Raleigh, NC",0.076,27,2.3 people,1.1,1.6,11,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.5%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,18.7%,81.9%,$795
"River Oaks, Raleigh, NC",0.212,177,2.6 people,1.2,2.0,95,55.3 years,49.7 years,"$59,277",40.5%,53.7%,42.0%,36.5%,3.6%,48.3%,2.3%,11.9%,16.5%,0.0%,5.8%,54.5%,$609
"Riverbend at Lakeside, Raleigh, NC",0.018000000000000002,10,2.3 people,1.7,1.8,5,40.8 years,36.0 years,"$53,929",42.0%,45.8%,27.1%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,20.7%,86.6%,$895
"Riverbirch Township, Raleigh, NC",0.023,38,1.9 people,0.4,1.7,16,62.8 years,45.3 years,"$51,481",38.7%,47.6%,40.2%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,3.0%,7.2%,80.0%,"$2,295"
"Riverbrooke, Raleigh, NC",0.16,57,2.8 people,1.3,2.5,25,38.2 years,42.1 years,"$51,613",27.1%,64.5%,32.3%,57.8%,7.8%,49.2%,0.6%,14.7%,15.5%,0.0%,4.1%,88.4%,$704
"Riverview, Raleigh, NC",0.43,838,2.6 people,1.3,2.0,436,41.8 years,38.3 years,"$48,750",23.9%,53.7%,15.0%,42.1%,19.3%,41.8%,3.1%,19.8%,17.7%,8.4%,1.2%,73.9%,$651
"Roanoke Park, Raleigh, NC",0.06,167,2.2 people,1.6,1.8,86,39.4 years,35.5 years,"$84,447",38.1%,56.9%,38.2%,46.1%,3.8%,42.7%,1.2%,15.8%,23.4%,0.6%,12.2%,78.4%,$772
"Robins Roost Townhomes, Raleigh, NC",0.001,3,2.5 people,1.3,2.0,1,48.9 years,34.3 years,"$35,000",24.2%,67.6%,4.3%,41.6%,7.6%,26.7%,0.5%,16.6%,20.7%,0.0%,38.1%,90.7%,$769
"Rochester Heights, Raleigh, NC",0.068,"1,090",23.8 people,1.6,2.6,485,43.2 years,37.2 years,"$51,299",22.5%,66.1%,23.7%,50.0%,10.7%,37.2%,0.8%,16.6%,15.1%,4.0%,12.3%,86.0%,$734
"Rock Cliff, Raleigh, NC",0.023,31,2.5 people,2.6,4.7,14,44.7 years,51.4 years,"$188,347",32.7%,62.0%,38.7%,55.6%,3.2%,74.7%,2.2%,11.1%,7.0%,0.0%,6.0%,71.5%,"$1,125"
"Rockview, Raleigh, NC",0.013,36,36.0 people,1.3,2.0,15,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.7%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,3.2%,19.8%,84.5%,$767
"Rockwood Acres, Raleigh, NC",0.028,34,28.0 people,1.4,1.8,12,25.7 years,30.3 years,"$46,470",46.3%,42.9%,28.3%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,0.0%,19.9%,65.3%,$823
"Rosalynn Place, Raleigh, NC",0.016,45,36.0 people,1.3,2.0,19,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.6%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,2.5%,19.7%,84.5%,$767
"Rosemont Garden, Raleigh, NC",0.146,263,3.0 people,1.1,1.6,140,33.8 years,27.4 years,"$29,231",23.9%,66.7%,14.5%,34.9%,8.8%,19.2%,0.5%,24.8%,25.6%,7.7%,14.0%,79.3%,$728
"Royal Pines, Raleigh, NC",0.006999999999999999,22,2.6 people,0.7,1.6,9,33.6 years,26.8 years,"$25,982",28.8%,64.2%,5.4%,36.5%,6.4%,14.4%,0.5%,20.4%,27.4%,0.0%,33.4%,67.5%,$610
"Runnymede Road, Raleigh, NC",0.053,122,2.6 people,1.8,2.1,63,53.1 years,44.2 years,"$147,857",38.2%,56.0%,37.5%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"Sagewood, Raleigh, NC",0.031,50,2.2 people,1.4,1.8,22,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.5%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.4%,78.1%,$861
"Sandy Chase, Raleigh, NC",0.08199999999999999,76,2.6 people,1.2,2.1,32,42.3 years,44.4 years,"$110,083",53.2%,39.1%,32.8%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.2%,78.6%,"$1,031"
"Sandy Land Village, Raleigh, NC",0.034,114,1.8 people,1.5,2.1,64,32.8 years,34.2 years,"$38,996",54.1%,37.9%,37.7%,28.9%,6.6%,20.3%,1.4%,19.8%,33.7%,0.0%,17.7%,77.1%,$779
"Sasser Homes, Raleigh, NC",0.002,3,1.9 people,1.5,1.6,2,40.6 years,31.7 years,"$69,375",38.1%,56.9%,29.1%,36.2%,3.8%,25.7%,1.2%,19.5%,32.6%,0.0%,39.0%,70.9%,$757
"Satterfield Coins Inc, Raleigh, NC",0.004,8,3.3 people,11.5,1.5,3,27.4 years,24.0 years,"$63,403",26.9%,57.8%,15.7%,63.8%,12.5%,53.7%,2.8%,25.0%,15.3%,0.0%,2.0%,62.1%,$765
"Scales Street Townhomes, Raleigh, NC",0.001,2,1.9 people,1.5,1.6,1,40.6 years,31.7 years,"$69,375",38.1%,56.9%,26.2%,36.2%,3.8%,25.7%,1.2%,19.5%,32.6%,0.0%,35.1%,70.9%,$757
"Scarsdale, Raleigh, NC",0.037000000000000005,54,1.6 people,0.8,1.6,27,54.9 years,36.9 years,"$81,406",42.6%,43.0%,27.2%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,7.1%,57.4%,$751
"Sedgefield, Raleigh, NC",0.055,"1,302",2.4 people,1.3,2.4,663,44.1 years,44.6 years,"$65,810",29.0%,57.3%,32.6%,38.6%,12.7%,53.6%,1.0%,13.6%,17.3%,2.5%,18.7%,72.4%,$662
"Seminary Lane Townhomes, Raleigh, NC",0.005,2,2.2 people,4.1,1.7,1,52.4 years,41.7 years,"$49,125",22.5%,66.1%,48.4%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,78.2%,85.3%,$678
"Seven Oaks, Raleigh, NC",0.002,6,2.1 people,1.2,2.3,3,41.7 years,43.2 years,"$70,521",46.2%,43.3%,38.1%,40.0%,10.1%,40.6%,0.4%,14.9%,10.0%,0.0%,14.6%,69.9%,$843
"Shades Pointe Townhomes, Raleigh, NC",,3,2.8 people,0.8,1.8,1,37.0 years,32.5 years,"$18,021",24.1%,67.3%,9.7%,54.2%,7.9%,22.4%,0.8%,23.2%,32.5%,0.0%,23.3%,46.3%,$565
"Shamrock Meadows, Raleigh, NC",0.113,334,3.6 people,1.6,1.7,203,23.5 years,25.4 years,"$33,648",27.1%,36.2%,6.0%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,29.4%,13.8%,87.3%,$717
"Shaw Ridge, Raleigh, NC",0.001,6,2.9 people,1.0,1.1,4,27.8 years,45.3 years,"$16,156",31.6%,62.1%,9.1%,45.5%,5.8%,14.1%,0.5%,20.4%,34.0%,0.0%,19.7%,18.5%,$563
"Sheffield Park, Raleigh, NC",0.015,5,2.3 people,1.1,1.6,2,37.8 years,36.2 years,"$54,200",39.7%,36.8%,26.7%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,19.6%,81.9%,$795
"Sheldon Way Townhomes, Raleigh, NC",0.001,,13.2%,2.7%,9.7%,32.8%,25.1%,38.4%,$678,6.9%,259.8,0.8%,66.1%,4.5%,22.5%,1.3%,4.1,1.7,85.3%,10.7%,1.4%,2.2 people
"Sherwood Forest, Raleigh, NC",0.083,238,2.5 people,1.3,2.0,130,48.9 years,34.3 years,"$35,000",24.2%,67.6%,3.8%,41.6%,7.6%,26.7%,0.5%,16.6%,20.7%,3.3%,34.2%,90.7%,$769
"Six Forks, Raleigh, NC",0.281,520,2.5 people,1.2,2.2,264,59.1 years,57.4 years,"$90,701",53.9%,39.8%,46.4%,34.7%,5.3%,71.7%,0.9%,3.5%,5.7%,0.3%,4.4%,73.5%,"$1,008"
"Sloans Garden Lane, Raleigh, NC",0.001,1,45.9%,31.6%,259.8,1.6 people,31.2%,32.9%,"$81,406",1.6,11.6%,9.2%,11.9%,57.4%,19.4%,0.7,42.6%,43.0%,2.7%,0.0%,19.0%,$751
"Somerset Place, Raleigh, NC",0.061,90,2.5 people,1.8,2.2,47,37.5 years,32.9 years,"$74,803",34.4%,38.8%,39.6%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,16.3%,19.7%,90.6%,$928
"South Bend, Raleigh, NC",0.011,4,2.2 people,4.1,1.7,2,52.4 years,41.7 years,"$49,125",22.5%,66.1%,48.4%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,78.2%,85.3%,$678
"South Bloodworth, Raleigh, NC",0.002,10,2.7 people,1.0,1.6,5,19.9 years,19.9 years,"$19,205",31.6%,62.1%,1.7%,48.8%,5.8%,9.5%,0.5%,44.2%,40.5%,0.0%,17.5%,67.3%,$423
"South East Street Townhomes, Raleigh, NC",0.002,11,2.9 people,1.0,1.1,7,27.8 years,45.3 years,"$16,156",31.6%,62.1%,8.2%,45.5%,5.8%,14.1%,0.5%,20.4%,34.0%,0.0%,17.9%,18.5%,$563
"South Park, Raleigh, NC",0.318,"1,566",2.7 people,0.9,1.4,881,30.3 years,34.2 years,"$20,570",30.1%,63.2%,6.5%,44.5%,6.2%,15.2%,0.5%,27.4%,35.9%,2.9%,20.8%,41.2%,$545
"South Six Forks, Raleigh, NC",0.084,68,1.7 people,1.2,2.0,31,44.7 years,43.6 years,"$50,573",58.9%,36.7%,20.6%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,0.0%,39.9%,81.5%,$762
"Southall Commons Townhomes, Raleigh, NC",0.027000000000000003,9,2.3 people,1.1,1.6,4,37.8 years,36.2 years,"$54,200",39.7%,36.8%,27.3%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,20.1%,81.9%,$795
"Southall, Raleigh, NC",0.184,113,2.3 people,1.7,1.8,53,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.7%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,2.8%,18.9%,86.6%,$895
"Southern Winds Townhomes, Raleigh, NC",0.015,24,2.2 people,1.4,1.8,10,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.5%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.5%,78.1%,$861
"Southgate, Raleigh, NC",0.096,276,36.0 people,1.3,2.0,118,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,4.2%,19.3%,84.5%,$767
"Spring Garden Townhomes, Raleigh, NC",0.031,25,1.7 people,1.2,2.0,11,44.7 years,43.6 years,"$50,573",58.9%,36.7%,21.1%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,0.0%,40.7%,81.5%,$762
"Spring Hill, Raleigh, NC",0.006,7,2.4 people,1.6,2.2,3,49.3 years,51.7 years,"$99,444",30.1%,65.8%,39.5%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.9%,56.7%,"$1,486"
"Spring Pines, Raleigh, NC",0.043,63,2.5 people,1.8,2.2,33,37.5 years,32.9 years,"$74,803",34.4%,38.8%,39.7%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,16.1%,19.8%,90.6%,$928
"Spring Valley, Raleigh, NC",0.053,64,2.4 people,1.6,2.2,30,49.3 years,51.7 years,"$99,444",30.1%,65.8%,36.8%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.5%,56.7%,"$1,486"
"Springburg, Raleigh, NC",0.032,46,2.5 people,1.8,2.2,24,37.5 years,32.9 years,"$74,803",34.4%,38.8%,40.2%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,14.6%,20.0%,90.6%,$928
"Springdale Estates, Raleigh, NC",0.594,551,2.6 people,1.2,2.1,236,42.3 years,44.4 years,"$110,083",53.2%,39.1%,32.7%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.2%,5.2%,78.6%,"$1,031"
"Springdale Gardems, Raleigh, NC",0.174,162,2.6 people,1.2,2.1,69,42.3 years,44.4 years,"$110,083",53.2%,39.1%,32.7%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.2%,78.6%,"$1,031"
"Springstone, Raleigh, NC",0.017,21,2.4 people,1.2,2.2,8,40.1 years,45.4 years,"$78,250",54.3%,40.8%,21.9%,62.3%,1.7%,52.7%,3.2%,19.8%,6.4%,0.0%,11.1%,81.6%,$846
"Stablegate, Raleigh, NC",0.004,3,1.7 people,1.6,1.6,1,29.0 years,28.1 years,"$60,271",36.6%,40.3%,41.6%,26.6%,21.5%,25.2%,1.6%,26.9%,28.5%,0.0%,14.9%,86.6%,$888
"Stafford Townhomes, Raleigh, NC",0.026,37,1.6 people,0.7,1.6,18,54.9 years,36.9 years,"$81,406",42.6%,43.0%,27.3%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,7.1%,57.4%,$751
"Starview, Raleigh, NC",0.031,70,2.6 people,1.8,2.1,36,53.1 years,44.2 years,"$147,857",38.2%,56.0%,37.7%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"State Street, Raleigh, NC",0.004,16,2.8 people,0.8,1.8,9,37.0 years,32.5 years,"$18,021",24.1%,67.3%,10.0%,54.2%,7.9%,22.4%,0.8%,23.2%,32.5%,0.0%,24.0%,46.3%,$565
"Sterling Townhomes, Raleigh, NC",0.012,10,33.0 people,2.1,2.3,5,23.8 years,25.3 years,"$55,139",36.9%,52.7%,26.0%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.9%,90.9%,"$1,046"
"Stillmeadow, Raleigh, NC",0.059,36,2.3 people,1.7,1.8,17,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.7%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,18.8%,86.6%,$895
"Stillwater, Raleigh, NC",0.004,5,2.4 people,1.3,2.5,2,29.3 years,32.6 years,"$46,923",39.7%,52.0%,43.3%,55.3%,7.1%,54.6%,1.1%,16.4%,18.9%,0.0%,1.1%,62.2%,$672
"Stillwood, Raleigh, NC",0.07,43,2.3 people,1.7,1.8,20,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.9%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.0%,86.6%,$895
"Stone Quarter Greystone, Raleigh, NC",0.047,115,2.2 people,2.0,1.8,60,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.4%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,0.9%,12.8%,76.3%,$740
"Stone Ridge, Raleigh, NC",0.094,34,2.3 people,1.1,1.6,14,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.1%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,3.1%,18.4%,81.9%,$795
"Stoneham Acres, Raleigh, NC",0.017,49,36.0 people,1.3,2.0,21,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,2.4%,19.4%,84.5%,$767
"Stonehaven, Raleigh, NC",0.01,12,2.4 people,1.2,2.2,5,40.1 years,45.4 years,"$78,250",54.3%,40.8%,23.1%,62.3%,1.7%,52.7%,3.2%,19.8%,6.4%,0.0%,11.7%,81.6%,$846
"Stonehenge, Raleigh, NC",1.109,444,0.8 people,1.4,2.1,196,13.6 years,14.4 years,"$28,394",52.5%,40.6%,27.9%,51.9%,4.8%,45.0%,2.2%,18.8%,13.6%,0.6%,10.4%,82.4%,$334
"Stoneridge, Raleigh, NC",0.06,73,28.0 people,1.4,1.8,26,25.7 years,30.3 years,"$46,470",46.3%,42.9%,28.3%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,1.5%,20.0%,65.3%,$823
"Stonewater, Raleigh, NC",0.098,27,3.0 people,11.3,2.6,13,41.7 years,42.8 years,"$101,250",31.9%,62.2%,33.5%,65.2%,5.5%,77.3%,0.5%,13.7%,8.6%,0.0%,8.9%,84.1%,$623
"Stowecroft, Raleigh, NC",0.08199999999999999,22,2.7 people,1.1,1.6,9,45.1 years,43.2 years,"$64,691",39.7%,36.8%,25.9%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,19.0%,81.9%,$949
"Stratford Court, Raleigh, NC",0.011,13,2.4 people,1.6,2.2,6,49.3 years,51.7 years,"$99,444",30.1%,65.8%,37.3%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.5%,56.7%,"$1,486"
"Stratford Park, Raleigh, NC",0.061,109,3.6 people,1.0,1.6,58,42.2 years,27.7 years,"$29,928",24.2%,67.6%,15.0%,32.1%,7.6%,19.6%,0.5%,24.4%,25.2%,5.8%,13.1%,79.3%,$737
"Stratton Park, Raleigh, NC",0.012,28,2.7 people,2.5,2.2,14,43.1 years,37.8 years,"$113,750",36.9%,54.2%,32.5%,53.0%,6.7%,68.8%,2.3%,9.7%,11.5%,0.0%,4.2%,69.2%,$982
"Sulgrave Manor, Raleigh, NC",0.003,7,2.6 people,1.8,2.1,3,53.1 years,44.2 years,"$147,857",38.2%,56.0%,38.1%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"Summer Place, Raleigh, NC",0.073,19,2.9 people,1.8,2.4,9,29.9 years,32.8 years,"$40,893",23.9%,53.7%,14.1%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,23.5%,18.5%,73.1%,$787
"Summerfield North, Raleigh, NC",0.17800000000000002,284,2.2 people,1.4,1.8,127,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.4%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,1.1%,5.4%,78.1%,$861
"Sunnybrook Estates, Raleigh, NC",0.08,229,36.0 people,1.3,2.0,98,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,4.0%,19.3%,84.5%,$767
"Sunset Hills, Raleigh, NC",0.529,260,0.6 people,2.9,2.0,139,9.8 years,9.5 years,"$26,810",37.2%,57.7%,37.8%,44.4%,4.4%,59.9%,0.7%,10.7%,18.2%,0.0%,7.0%,70.1%,$245
"Sussex Place, Raleigh, NC",0.025,43,1.9 people,0.4,1.7,18,62.8 years,45.3 years,"$51,481",38.7%,47.6%,39.7%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,2.4%,7.1%,80.0%,"$2,295"
"Sweetbriar Forest, Raleigh, NC",0.008,13,1.9 people,0.4,1.7,5,62.8 years,45.3 years,"$51,481",38.7%,47.6%,41.8%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,0.0%,7.5%,80.0%,"$2,295"
"Tall Oaks, Raleigh, NC",0.003,1,28.0 people,2.0,1.7,0,55.2 years,49.4 years,"$90,982",36.9%,42.8%,55.6%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,29.5%,64.1%,"$1,215"
"Tall Tree, Raleigh, NC",0.009000000000000001,5,28.0 people,2.0,1.7,2,55.2 years,49.4 years,"$90,982",36.9%,42.8%,36.6%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,19.4%,64.1%,"$1,215"
"Tamarack, Raleigh, NC",0.009000000000000001,25,2.6 people,1.6,2.1,11,44.8 years,48.3 years,"$120,583",52.6%,40.0%,37.7%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%,$853
"Tanglewood, Raleigh, NC",0.06,116,2.6 people,1.3,2.0,60,41.8 years,38.3 years,"$48,750",23.9%,53.7%,15.0%,42.1%,19.3%,41.8%,3.1%,19.8%,17.7%,7.1%,1.2%,73.9%,$651
"Tatton Place, Raleigh, NC",0.009000000000000001,29,2.5 people,1.5,2.2,14,38.2 years,36.3 years,"$112,273",36.5%,59.7%,41.4%,43.5%,3.0%,58.2%,0.8%,14.0%,11.1%,0.0%,1.1%,61.6%,"$1,027"
